node1,node2,latency,bandwidth
c1_s0,s0,5.97,1000
c1_s1,c1_s0,0,1000
1101,c1_s1,0.4,1000
1102,c1_s1,0.19,1000
1103,c1_s1,0.42,1000
1104,c1_s1,0.4,1000
1105,c1_s1,0.29,1000
1106,c1_s1,0.28,1000
c1_cli1,c1_s1,0.05,100
c1_cli2,c1_s1,0.05,100
c1_cli3,c1_s1,0.05,100
c1_cli4,c1_s1,0.05,100
e2_s0,s0,5.21,1000
e2_s1,e2_s0,4.72,1000
2101,e2_s1,1.63,1000
2102,e2_s1,0.74,1000
2103,e2_s1,0.14,1000
2104,e2_s1,0.88,1000
e2_s2,e2_s0,0.0,1000
2201,e2_s2,1.64,1000
2202,e2_s2,0.48,1000
2203,e2_s2,0.61,1000
2204,e2_s2,0.5,1000
e2_cli1,e2_s1,5,100
e2_cli2,e2_s1,5,100
e2_cli3,e2_s1,5,100
e2_cli4,e2_s2,5,100
e3_s0,s0,7.06,1000
e3_s1,e3_s0,2.97,1000
3101,e3_s1,1.73,1000
3102,e3_s1,0.47,1000
3103,e3_s1,1.09,1000
3104,e3_s1,0.13,1000
e3_s2,e3_s0,0.0,1000
3201,e3_s2,0.22,1000
3202,e3_s2,0.13,1000
3203,e3_s2,1.06,1000
3204,e3_s2,1.81,1000
e3_cli1,e3_s2,5,100
e3_cli2,e3_s1,5,100
e3_cli3,e3_s1,5,100
e3_cli4,e3_s2,5,100
